entrez_gene_ida	entrez_gene_idb	protein_a	protein_b	orf_ida	orf_idb	uniprot_a	uniprot_b
207	5170	AKT1	PDPK1	5348	9307	P31749-1	O15530-4
207	4089	AKT1	SMAD4	5348	4687	P31749-1	Q13485
375	23647	ARF1	ARFIP2	2439	3971	P84077	P53365-1
467	1649	ATF3	DDIT3	4958	3944	P18847-1	P35638-1
467	7157	ATF3	TP53	4958	3774	P18847-1	P04637-1
572	598	BAD	BCL2L1	3706	5989	Q92934	Q07817-1
578	598	BAK1	BCL2L1	3801	5989	Q16611-1	Q07817-1
627	4909	BDNF	NTF4	8536	636	P23560-1	P34130
835	8738	CASP2	CRADD	3197	510	P42575-1	P78560-1
868	2885	CBLB	GRB2	1938	8010	Q13191-1	P62993-1
868	7409	CBLB	VAV1	1938	6612	Q13191-1	Q96D37
1017	1163	CDK2	CKS1B	3469	4920	P24941-1	P61024
1017	4172	CDK2	MCM3	3469	3726	P24941-1	P25205-1
1017	6502	CDK2	SKP2	3469	4656	P24941-1	Q13309-2
1017	7157	CDK2	TP53	3469	3774	P24941-1	P04637-1
1054	1649	CEBPG	DDIT3	2410	3944	P53567	P35638-1
1054	2353	CEBPG	FOS	2410	4345	P53567	P01100-1
1081	93659	CGA	CGB5	6285	4865	P01215	P0DN86-1
1315	51440	COPB1	HPCAL4	1909	1235	P53618	Q9UM19
1315	23516	COPB1	SLC39A14	1909	7666	P53618	Q15043-2
1649	10538	DDIT3	BATF	3944	9618	P35638-1	Q16520
1649	10538	DDIT3	BATF	3944	9618	P35638-1	Q16520
1649	2353	DDIT3	FOS	3944	4345	P35638-1	P01100-1
1810	10589	DR1	DRAP1	4168	6867	Q01658	Q14919-1
2065	285237	ERBB3	C3orf38	8886	1444	P21860-3	Q5JPI3-1
2065	2885	ERBB3	GRB2	8886	8010	P21860-3	P62993-1
2065	3084	ERBB3	NRG1	8886	8921	P21860-3	Q02297-10
2175	2176	FANCA	FANCC	8795	7699	O15360-2	Q00597
2175	2189	FANCA	FANCG	8795	3568	O15360-2	O15287
355	27258	FAS	LSM3	2622	5664	P25445-1	P62310
2237	5111	FEN1	PCNA	3978	3156	P39748-1	P12004
1647	5111	GADD45A	PCNA	6876	3156	P24522-1	P12004
2584	56922	GALK1	MCCC1	3414	4722	P51570-1	Q96RQ3
2639	84240	GCDH	ZCCHC9	7938	9994	Q92947-1	Q8N567
2885	27040	GRB2	LAT	8010	7273	P62993-1	O43561-2
2885	5925	GRB2	RB1	8010	8208	P62993-1	P06400
2885	7409	GRB2	VAV1	8010	6612	P62993-1	Q96D37
2962	2963	GTF2F1	GTF2F2	6024	3291	P35269	P13984
3040	3043	HBA2	HBB	2794	5808	P69905	P68871
3065	7157	HDAC1	TP53	3152	3774	Q13547	P04637-1
3065	7704	HDAC1	ZBTB16	3152	8127	Q13547	Q05516-1
3091	3320	HIF1A	HSP90AA1	6151	8199	Q16665-1	P07900-1
3091	7157	HIF1A	TP53	6151	3774	Q16665-1	P04637-1
3434	3646	IFIT1	EIF3E	5803	6072	P09914-1	P60228
3481	3487	IGF2	IGFBP4	5345	7264	P01344-1	P22692-1
3726	10538	JUNB	BATF	4265	9618	P17275	Q16520
3726	2353	JUNB	FOS	4265	4345	P17275	P01100-1
3726	2353	JUNB	FOS	4265	4345	P17275	P01100-1
3726	4089	JUNB	SMAD4	4265	4687	P17275	Q13485
3937	9402	LCP2	GRAP2	1108	8327	Q13094	O75791-1
3937	2885	LCP2	GRB2	1108	8010	Q13094	P62993-1
3937	2885	LCP2	GRB2	1108	8010	Q13094	P62993-1
3937	4690	LCP2	NCK1	1108	5001	Q13094	P16333-1
4000	4001	LMNA	LMNB1	3903	2370	P02545-2	P20700
4000	5925	LMNA	RB1	3903	8208	P02545-2	P06400
4000	7329	LMNA	UBE2I	3903	3129	P02545-2	P63279
27258	57819	LSM3	LSM2	5664	6601	P62310	Q9Y333
4085	8379	MAD2L1	MAD1L1	4707	6811	Q13257-1	Q9Y6D9-1
4097	4779	MAFG	NFE2L1	7214	3011	O15525	Q14494-2
4171	55388	MCM2	MCM10	4536	8578	P49736	Q7L590-2
4171	4172	MCM2	MCM3	4536	3726	P49736	P25205-1
4171	4174	MCM2	MCM5	4536	19	P49736	P33992
4171	91584	MCM2	PLXNA4	4536	1915	P49736	Q9HCM2-3
4686	22916	NCBP1	NCBP2	7450	2754	Q09161	P52298-1
4771	9146	NF2	HGS	3697	3769	P35240-4	O14964-1
2908	3320	NR3C1	HSP90AA1	7587	8199	P04150-1	P07900-1
4999	55388	ORC2	MCM10	2403	8578	Q13416	Q7L590-2
4999	5000	ORC2	ORC4	2403	2391	Q13416	O43929-1
5144	10399	PDE4D	RACK1	2331	2446	Q08499-8	P63244
5195	5824	PEX14	PEX19	4964	3171	O75381-1	P40855-1
5824	8799	PEX19	PEX11B	3171	645	P40855-1	O96011-1
5824	9409	PEX19	PEX16	3171	3837	P40855-1	Q9Y5Y5-1
5824	8504	PEX19	PEX3	3171	798	P40855-1	P56589
5530	2885	PPP3CA	GRB2	8407	8010	Q08209-2	P62993-1
5530	5534	PPP3CA	PPP3R1	8407	8316	Q08209-2	P63098
5537	59348	PPP6C	ZNF350	5533	5946	O00743-1	Q9GZX5
5627	10494	PROS1	STK25	210	5174	P07225	O00506-1
5710	5886	PSMD4	RAD23A	3169	7058	P55036-1	P54725-1
5711	55356	PSMD5	SLC22A15	7647	1228	Q16401-1	Q8IZD6-1
5711	93426	PSMD5	SYCE1	7647	9395	Q16401-1	Q8N0S2-1
5879	23647	RAC1	ARFIP2	4232	3971	P63000-1	P53365-1
5879	392	RAC1	ARHGAP1	4232	97	P63000-1	Q07960
5879	7409	RAC1	VAV1	4232	6612	P63000-1	Q96D37
1104	89857	RCC1	KLHL6	5290	9706	P18754-1	A0A0C4DGF2
1104	5901	RCC1	RAN	5290	231	P18754-1	P62826
387	392	RHOA	ARHGAP1	5810	97	P61586	Q07960
8767	10392	RIPK2	NOD1	4886	2450	O43353-1	Q9Y239-1
8767	7329	RIPK2	UBE2I	4886	3129	O43353-1	P63279
6500	8945	SKP1	BTRC	6671	9477	P63208-1	Q9Y297-1
6500	1163	SKP1	CKS1B	6671	4920	P63208-1	P61024
6500	6502	SKP1	SKP2	6671	4656	P63208-1	Q13309-2
4086	4089	SMAD1	SMAD4	3782	4687	Q15797-1	Q13485
4089	8945	SMAD4	BTRC	4687	9477	Q13485	Q9Y297-1
4089	55802	SMAD4	DCP1A	4687	4735	Q13485	Q9NPI6
4089	7329	SMAD4	UBE2I	4687	3129	Q13485	P63279
4089	7329	SMAD4	UBE2I	4687	3129	Q13485	P63279
7157	598	TP53	BCL2L1	3774	5989	P04637-1	Q07817-1
7157	7329	TP53	UBE2I	3774	3129	P04637-1	P63279
